record_id,timestamp,equipment_id,plant_zone,process_type,material_batch_id,ambient_temperature_c,ambient_humidity_pct,dsc_heat_flow_mw,sample_temperature_c,reference_temperature_c,thermal_gradient_c,heating_rate_c_min,cooling_rate_c_min,infrared_mean_temp_c,infrared_max_temp_c,thermal_hotspot_area_pct,phase_transition_onset_c,phase_transition_peak_c,transition_enthalpy_j_g,heat_dissipation_rate_w,sensor_voltage_v,sensor_current_ma,vibration_level_mm_s,mqtt_latency_ms,packet_loss_pct,edge_cpu_usage_pct,rolling_noise_index,anomaly_score,remaining_useful_life_h,fault_type,fault_state,maintenance_required
24,2025-01-01 01:55:00,CAL-005,Materials-QC,material_characterization,BATCH-2395,28.67,44.71,210.85,115.26,108.11,7.15,13.41,4.15,128.89,137.05,29.66,85.29,102.21,106.3,50.2,3.221,74.75,4.823,92.28,5.89,67.96,0.387,0.509,336.3,compound_thermal_instability,Critical,1
25,2025-01-01 02:00:00,CAL-010,Reactor-Line-A,energy_storage_testing,BATCH-5720,30.09,57.08,121.76,98.97,90.71,8.26,11.96,4.45,106.93,135.74,34.74,60.26,80.76,182.4,56.18,3.197,60.37,3.699,72.8,3.39,63.28,0.28,0.592,330.1,sensor_drift,Warning,1
26,2025-01-01 02:05:00,CAL-020,Reactor-Line-A,polymer_curing,BATCH-6280,26.46,51.64,75.63,150.81,147.76,3.05,11.11,6.2,154.58,156.87,3.56,120.19,129.06,73.4,66.31,3.4,35.17,0.938,49.6,0.41,36.37,0.112,0.098,998.1,none,Normal,0
27,2025-01-01 02:10:00,CAL-014,Thermal-Manufacturing,polymer_curing,BATCH-5722,26.62,55.61,123.93,149.14,140.81,8.33,13.81,6.09,154.48,169.89,21.02,125.84,145.97,120.2,41.99,3.255,58.37,1.21,63.1,2.0,62.73,0.389,0.424,488.9,incipient_overheating,Warning,1
28,2025-01-01 02:15:00,CAL-006,Battery-Lab,thermal_manufacturing,BATCH-1224,26.1,67.88,90.79,180.49,179.17,1.32,9.32,4.89,181.97,184.86,3.05,167.8,182.36,75.93,62.54,3.288,52.37,0.561,54.46,0,40.66,0.196,0,1038.6,none,Normal,0
29,2025-01-01 02:20:00,CAL-017,Battery-Lab,chemical_processing,BATCH-5634,30.37,48.44,165.78,138.3,132.04,6.26,12.45,5.98,142.78,179.78,29.88,101.34,124.74,109.06,52.63,3.173,70.8,1.671,101.66,5.05,52.48,0.43,0.623,586.1,sensor_drift,Warning,1
30,2025-01-01 02:25:00,CAL-011,Reactor-Line-A,polymer_curing,BATCH-2633,31.29,49.68,95.87,138.25,135.95,2.3,4.71,6.09,138.91,159.66,2.68,118.08,135.29,54.06,61.07,3.304,48.23,0.51,49.48,1.28,57.07,0.173,0.284,721.0,none,Normal,0
31,2025-01-01 02:30:00,CAL-024,Reactor-Line-A,polymer_curing,BATCH-2612,25.68,58.83,163.19,168.3,162.75,5.55,12.27,3.89,176.05,191.9,25.94,125.91,142.99,186.59,58.99,3.227,63.63,3.374,75.04,3.49,63.45,0.319,0.464,513.6,incipient_overheating,Warning,1
32,2025-01-01 02:35:00,CAL-022,Materials-QC,energy_storage_testing,BATCH-2210,23.06,41.1,103.51,73.98,72.4,1.58,9.71,5.14,74.23,90.3,8.21,61.52,66.38,55.6,61.09,3.369,46.32,0.809,31.33,0.6,45.54,0.105,0.131,826.1,none,Normal,0
33,2025-01-01 02:40:00,CAL-029,Battery-Lab,energy_storage_testing,BATCH-6772,27.16,63.89,95.83,78.78,78.68,0.1,9.19,5.63,80.63,90.97,4.38,56.29,70.17,94.99,65.53,3.277,49.2,1.068,22.08,0.11,51.05,0.099,0.127,1077.1,none,Normal,0
34,2025-01-01 02:45:00,CAL-026,Battery-Lab,material_characterization,BATCH-2886,24.47,50.33,71.67,90.92,89.9,1.02,5.44,7.09,91.88,99.88,1.38,78.58,92.9,89.62,71.1,3.274,39.58,1.097,29.22,1.94,31.85,0.104,0.139,936.3,none,Normal,0
35,2025-01-01 02:50:00,CAL-020,Reactor-Line-B,chemical_processing,BATCH-8606,29.83,57.9,200.84,193.03,184.67,8.36,16.71,2.68,200.6,217.06,61.99,105.47,123.34,97.8,34.66,3.255,69.01,4.511,80.9,6.52,67.01,0.394,0.67,154.8,compound_thermal_instability,Critical,1
36,2025-01-01 02:55:00,CAL-012,Reactor-Line-A,material_characterization,BATCH-9920,30.19,52.96,241.34,139.83,129.85,9.98,14.35,3.74,146.4,172.84,68.62,83.05,105.79,180.4,35.07,3.207,79.2,3.788,104.58,8.55,71.0,0.484,0.777,129.2,severe_overheating,Critical,1
37,2025-01-01 03:00:00,CAL-028,Reactor-Line-B,energy_storage_testing,BATCH-9850,26.9,48.87,93.84,90.22,87.82,2.4,10.11,5.99,93.51,103.0,0,57.22,66.44,84.03,59.38,3.322,51.48,0.977,40.66,1.4,28.11,0.036,0.114,955.5,none,Normal,0
38,2025-01-01 03:05:00,CAL-016,Polymer-Unit,polymer_curing,BATCH-2768,27.65,55.12,115.89,153.86,150.55,3.31,10.33,6.58,155.5,171.15,24.22,123.51,134.87,110.63,73.0,3.3,60.61,1.201,59.0,0.63,53.46,0.259,0.279,798.6,none,Normal,0
39,2025-01-01 03:10:00,CAL-015,Polymer-Unit,polymer_curing,BATCH-2557,27.12,70.56,101.94,140.9,139.91,0.99,9.35,4.22,145.71,154.88,9.16,129.55,145.44,55.86,63.37,3.239,55.05,1.441,40.77,1.52,43.97,0.107,0.189,962.5,none,Normal,0
40,2025-01-01 03:15:00,CAL-005,Thermal-Manufacturing,polymer_curing,BATCH-4674,29.83,58.37,164.0,164.93,159.83,5.1,9.54,4.04,167.2,181.74,10.87,123.2,137.95,79.45,62.37,3.26,62.76,1.116,65.02,4.02,64.66,0.333,0.364,629.5,reduced_heat_dissipation,Warning,1
41,2025-01-01 03:20:00,CAL-001,Reactor-Line-A,thermal_manufacturing,BATCH-4524,28.41,56.87,79.77,177.74,172.01,5.73,7.24,6.53,185.0,200.15,9.84,159.86,174.6,70.62,61.03,3.294,57.19,1.104,51.53,0.84,37.11,0.086,0.213,892.3,none,Normal,0
42,2025-01-01 03:25:00,CAL-002,Reactor-Line-A,energy_storage_testing,BATCH-5938,35.74,56.43,201.68,122.91,116.1,6.81,18.81,4.11,132.81,189.05,37.78,60.13,79.32,204.01,27.54,3.22,84.85,4.916,93.76,7.11,70.26,0.431,0.723,282.3,heat_dissipation_failure,Critical,1
43,2025-01-01 03:30:00,CAL-006,Materials-QC,polymer_curing,BATCH-6928,27.88,62.68,111.84,142.94,139.58,3.36,12.06,4.94,148.54,161.96,14.17,117.01,131.64,76.13,74.15,3.298,44.62,1.738,61.34,2.73,61.14,0.192,0.219,804.1,none,Normal,0
44,2025-01-01 03:35:00,CAL-016,Polymer-Unit,thermal_manufacturing,BATCH-8354,32.15,62.48,173.9,197.19,190.63,6.56,12.93,4.39,204.12,237.78,21.61,165.7,184.36,138.91,49.58,3.226,76.94,2.239,73.62,3.87,54.38,0.365,0.535,153.2,reduced_heat_dissipation,Warning,1
45,2025-01-01 03:40:00,CAL-015,Materials-QC,energy_storage_testing,BATCH-6267,29.67,48.9,109.7,87.4,87.02,0.38,9.42,5.38,89.93,98.19,0,53.83,67.01,57.36,81.47,3.246,57.44,1.219,45.57,0.9,41.97,0.106,0.157,791.5,none,Normal,0
46,2025-01-01 03:45:00,CAL-028,Thermal-Manufacturing,thermal_manufacturing,BATCH-3463,28.57,56.08,104.64,193.66,188.51,5.15,7.86,6.32,199.45,211.48,3.15,166.77,182.6,60.88,72.38,3.239,48.75,0.873,43.86,0.82,43.21,0.197,0.188,864.5,none,Normal,0
47,2025-01-01 03:50:00,CAL-025,Polymer-Unit,energy_storage_testing,BATCH-4711,29.76,52.84,182.43,111.05,106.72,4.33,15.05,2.9,123.33,164.37,45.38,64.39,90.07,153.88,27.72,3.242,78.6,2.741,97.64,5.49,76.48,0.368,0.719,144.8,heat_dissipation_failure,Critical,1
48,2025-01-01 03:55:00,CAL-010,Polymer-Unit,energy_storage_testing,BATCH-7026,29.38,47.85,169.87,100.41,96.23,4.18,16.45,4.05,107.1,128.59,26.45,64.42,85.36,96.45,66.11,3.283,67.72,2.402,75.13,3.11,63.98,0.28,0.352,578.8,sensor_drift,Warning,1
49,2025-01-01 04:00:00,CAL-008,Polymer-Unit,material_characterization,BATCH-1436,25.9,56.58,98.66,105.15,102.03,3.12,9.94,5.44,105.46,118.63,9.56,80.66,92.4,103.56,54.23,3.247,51.12,1.218,45.23,1.51,50.61,0.206,0.177,748.8,none,Normal,0
50,2025-01-01 04:05:00,CAL-008,Battery-Lab,chemical_processing,BATCH-1782,29.26,49.47,94.48,126.58,122.58,4.0,7.44,5.11,125.86,135.84,11.54,103.31,115.26,116.88,69.85,3.322,46.67,1.39,63.42,1.45,50.87,0.091,0.283,819.0,none,Normal,0
51,2025-01-01 04:10:00,CAL-002,Thermal-Manufacturing,polymer_curing,BATCH-7116,27.48,42.9,88.16,139.16,139.28,-0.12,5.14,5.84,141.98,141.3,1.1,124.39,141.1,48.21,74.87,3.262,37.11,1.234,45.02,0,43.92,0.121,0.044,1133.3,none,Normal,0
52,2025-01-01 04:15:00,CAL-017,Polymer-Unit,thermal_manufacturing,BATCH-8756,28.95,54.53,81.48,197.49,193.57,3.92,9.8,5.77,197.05,223.5,12.57,157.0,165.59,138.17,52.86,3.278,60.04,1.33,58.91,0.39,59.47,0.214,0.3,671.0,none,Normal,0
53,2025-01-01 04:20:00,CAL-011,Reactor-Line-A,chemical_processing,BATCH-6372,29.41,60.89,164.68,124.52,119.02,5.5,10.92,3.42,131.61,155.17,19.04,103.08,117.47,67.79,54.68,3.262,62.36,2.957,55.38,2.82,58.39,0.265,0.47,426.8,sensor_drift,Warning,1
54,2025-01-01 04:25:00,CAL-002,Materials-QC,energy_storage_testing,BATCH-8371,33.33,47.66,211.43,104.73,98.92,5.81,16.06,4.07,112.86,135.65,25.93,64.34,85.83,181.04,12.93,3.253,72.64,5.843,89.27,5.87,75.47,0.366,0.647,138.6,severe_overheating,Critical,1
55,2025-01-01 04:30:00,CAL-003,Thermal-Manufacturing,material_characterization,BATCH-6692,31.72,44.25,121.37,112.62,110.34,2.28,10.7,3.95,118.64,146.12,31.4,80.25,97.74,95.88,49.61,3.261,57.34,2.594,71.2,2.36,89.42,0.281,0.411,514.7,reduced_heat_dissipation,Warning,1
56,2025-01-01 04:35:00,CAL-003,Reactor-Line-B,material_characterization,BATCH-2215,23.73,42.45,88.87,118.16,114.55,3.61,11.98,7.76,115.78,136.91,15.3,78.75,94.23,105.75,58.01,3.322,44.66,2.432,67.56,0.62,49.1,0.251,0.278,772.8,none,Normal,0
57,2025-01-01 04:40:00,CAL-010,Materials-QC,thermal_manufacturing,BATCH-2530,28.29,48.74,71.36,175.95,175.67,0.28,6.38,4.13,176.17,187.56,5.53,159.82,169.37,60.67,57.59,3.258,51.21,0.328,41.71,0.25,63.19,0,0.101,907.6,none,Normal,0
58,2025-01-01 04:45:00,CAL-003,Thermal-Manufacturing,chemical_processing,BATCH-3589,25.82,54.28,126.15,136.85,134.89,1.96,9.1,3.59,141.58,154.16,4.47,105.67,118.0,110.8,65.74,3.308,54.6,1.467,37.85,2.56,47.26,0.261,0.207,901.1,none,Normal,0
59,2025-01-01 04:50:00,CAL-019,Thermal-Manufacturing,material_characterization,BATCH-4110,26.68,54.01,88.71,141.01,135.26,5.75,12.78,4.72,149.7,184.95,28.87,83.2,98.19,84.95,55.27,3.269,58.57,3.497,61.75,3.9,51.69,0.224,0.576,553.5,sensor_drift,Warning,1
60,2025-01-01 04:55:00,CAL-003,Polymer-Unit,thermal_manufacturing,BATCH-8378,30.75,55.8,180.27,201.7,199.88,1.82,10.53,4.42,209.52,240.88,19.52,164.98,186.54,125.13,59.91,3.224,68.24,3.405,81.72,5.25,53.14,0.308,0.416,465.3,incipient_overheating,Warning,1
61,2025-01-01 05:00:00,CAL-019,Battery-Lab,thermal_manufacturing,BATCH-9351,26.45,65.7,135.8,181.18,176.35,4.83,9.83,5.83,180.26,195.11,11.16,155.54,171.34,103.48,48.68,3.236,48.58,1.29,49.82,0.93,41.38,0.188,0.219,769.2,none,Normal,0
62,2025-01-01 05:05:00,CAL-023,Reactor-Line-A,energy_storage_testing,BATCH-1310,26.89,46.39,100.37,83.38,82.63,0.75,5.82,5.97,85.72,88.82,1.64,57.3,74.23,86.65,51.1,3.34,42.61,1.309,32.41,0.94,54.54,0.066,0.11,803.3,none,Normal,0
63,2025-01-01 05:10:00,CAL-016,Reactor-Line-B,energy_storage_testing,BATCH-5571,28.94,49.4,92.05,76.81,73.61,3.2,7.17,4.44,85.03,96.64,2.35,60.65,76.58,41.3,86.72,3.324,34.0,1.042,34.92,0.63,56.67,0.071,0.169,912.5,none,Normal,0
64,2025-01-01 05:15:00,CAL-007,Materials-QC,material_characterization,BATCH-5450,29.95,46.38,91.43,100.18,97.92,2.26,9.46,5.2,99.58,119.38,19.92,81.15,99.16,93.48,73.28,3.268,63.32,1.05,44.33,1.9,55.33,0.146,0.217,664.0,none,Normal,0
65,2025-01-01 05:20:00,CAL-003,Thermal-Manufacturing,thermal_manufacturing,BATCH-4804,31.93,44.88,132.09,197.55,191.65,5.9,13.78,6.35,201.23,201.01,13.21,169.96,182.95,97.89,62.9,3.265,52.06,1.952,52.31,3.38,48.91,0.029,0.237,829.2,none,Normal,0
66,2025-01-01 05:25:00,CAL-007,Reactor-Line-A,material_characterization,BATCH-3662,26.75,61.62,189.19,120.57,115.51,5.06,14.36,5.64,125.0,144.91,19.25,81.47,98.98,135.53,61.29,3.241,66.54,2.928,68.39,4.97,60.48,0.364,0.411,391.1,minor_phase_transition_shift,Warning,1
67,2025-01-01 05:30:00,CAL-009,Thermal-Manufacturing,material_characterization,BATCH-4871,26.36,57.93,87.48,81.28,79.28,2.0,6.87,7.54,88.06,95.26,10.46,77.52,91.52,96.28,82.91,3.272,42.51,0.4,37.05,0,40.48,0.104,0.128,950.7,none,Normal,0
68,2025-01-01 05:35:00,CAL-003,Materials-QC,polymer_curing,BATCH-9653,23.75,62.04,126.44,159.56,157.21,2.35,12.33,5.7,162.79,182.16,21.2,127.85,146.93,124.3,62.69,3.235,51.27,2.023,72.14,3.24,58.35,0.132,0.291,759.2,incipient_overheating,Warning,1
69,2025-01-01 05:40:00,CAL-024,Reactor-Line-B,thermal_manufacturing,BATCH-2196,33.51,60.83,102.34,187.29,184.98,2.31,8.85,4.25,192.9,206.12,0,160.71,171.46,105.01,67.68,3.334,39.38,0.641,55.91,0.55,37.15,0.092,0.098,922.9,none,Normal,0
70,2025-01-01 05:45:00,CAL-017,Reactor-Line-B,energy_storage_testing,BATCH-1056,31.36,50.74,158.47,92.98,89.03,3.95,14.75,4.91,99.22,154.85,32.32,59.58,80.79,105.07,48.34,3.171,74.59,3.523,87.15,5.14,55.33,0.308,0.695,396.1,sensor_drift,Warning,1
71,2025-01-01 05:50:00,CAL-013,Polymer-Unit,energy_storage_testing,BATCH-9843,30.11,55.36,118.57,82.82,76.71,6.11,9.02,4.0,84.31,98.8,20.1,61.29,79.85,103.36,69.64,3.342,60.31,2.549,41.03,1.47,45.06,0.028,0.33,853.0,none,Normal,0
72,2025-01-01 05:55:00,CAL-026,Materials-QC,material_characterization,BATCH-7821,26.15,54.73,107.51,107.62,105.13,2.49,9.53,5.29,109.33,120.93,2.55,79.16,89.32,79.79,68.33,3.318,54.18,1.238,35.76,2.17,46.39,0.101,0.128,966.2,none,Normal,0
73,2025-01-01 06:00:00,CAL-002,Reactor-Line-A,energy_storage_testing,BATCH-4555,25.16,69.49,127.67,106.79,102.85,3.94,10.4,6.36,110.87,128.45,24.44,60.44,81.96,59.64,57.09,3.247,59.96,1.496,62.28,1.01,50.37,0.327,0.357,571.3,none,Normal,0
74,2025-01-01 06:05:00,CAL-030,Reactor-Line-B,material_characterization,BATCH-6126,28.27,52.16,143.81,107.02,104.26,2.76,8.04,5.0,111.91,130.46,2.29,81.9,91.55,91.17,62.82,3.262,58.21,0.3,42.51,0.7,54.91,0.244,0.191,931.5,none,Normal,0
75,2025-01-01 06:10:00,CAL-016,Reactor-Line-B,thermal_manufacturing,BATCH-1962,31.22,58.66,133.81,192.25,188.64,3.61,12.45,5.77,196.97,215.29,21.93,167.48,184.09,148.01,54.41,3.272,53.67,1.202,53.55,3.99,52.15,0.138,0.311,609.2,none,Normal,0
76,2025-01-01 06:15:00,CAL-014,Reactor-Line-B,chemical_processing,BATCH-2578,27.17,46.12,113.4,119.38,118.59,0.79,12.73,6.99,119.79,131.38,4.92,100.04,113.49,74.7,82.27,3.29,53.74,1.033,34.91,1.94,36.39,0.04,0.202,982.6,none,Normal,0
77,2025-01-01 06:20:00,CAL-021,Battery-Lab,thermal_manufacturing,BATCH-2562,29.96,70.83,176.63,218.67,213.35,5.32,14.7,5.96,222.97,251.29,31.07,168.25,186.92,180.98,44.43,3.236,60.23,3.143,85.89,5.25,69.81,0.383,0.529,440.3,minor_phase_transition_shift,Warning,1
78,2025-01-01 06:25:00,CAL-025,Thermal-Manufacturing,energy_storage_testing,BATCH-2284,26.74,60.43,108.96,91.26,86.74,4.52,11.46,2.65,91.48,117.35,22.05,59.2,78.19,101.4,47.68,3.327,47.87,2.207,56.21,2.11,41.71,0.13,0.371,667.1,none,Normal,0
79,2025-01-01 06:30:00,CAL-005,Polymer-Unit,energy_storage_testing,BATCH-7383,28.9,50.48,96.36,72.81,69.93,2.88,9.18,4.7,76.27,84.37,4.99,56.39,69.83,64.45,66.18,3.278,49.51,0.666,42.96,2.75,33.01,0.171,0.129,983.7,none,Normal,0
80,2025-01-01 06:35:00,CAL-005,Battery-Lab,material_characterization,BATCH-5397,28.86,42.48,88.74,98.82,97.44,1.38,8.18,6.7,98.12,101.89,4.53,78.46,88.22,119.22,65.09,3.334,47.51,0.425,30.0,2.47,56.41,0,0.109,1009.2,none,Normal,0
81,2025-01-01 06:40:00,CAL-023,Reactor-Line-B,polymer_curing,BATCH-6147,25.92,62.78,101.87,131.8,131.88,-0.08,7.63,5.31,139.93,142.98,17.83,125.91,149.14,101.63,81.37,3.336,51.17,1.423,43.96,1.99,31.76,0.236,0.19,898.7,none,Normal,0
82,2025-01-01 06:45:00,CAL-005,Thermal-Manufacturing,material_characterization,BATCH-4965,24.12,43.48,96.31,100.37,100.04,0.33,6.53,5.25,108.11,112.72,3.99,77.68,94.81,73.52,74.85,3.258,49.24,0.751,41.4,2.53,49.15,0.171,0.052,895.5,none,Normal,0
83,2025-01-01 06:50:00,CAL-021,Polymer-Unit,material_characterization,BATCH-8052,27.7,63.29,91.64,86.1,84.85,1.25,10.01,4.44,89.38,97.32,2.01,80.62,92.93,65.93,90.31,3.346,51.94,0.732,30.89,0,54.72,0.037,0.076,1045.8,none,Normal,0
84,2025-01-01 06:55:00,CAL-015,Battery-Lab,chemical_processing,BATCH-5919,29.57,58.97,133.25,130.67,125.44,5.23,12.81,4.66,130.59,145.2,9.23,106.04,115.39,105.11,59.93,3.265,49.79,1.145,51.29,0,41.41,0.189,0.24,779.0,none,Normal,0
85,2025-01-01 07:00:00,CAL-009,Thermal-Manufacturing,chemical_processing,BATCH-2667,27.46,61.93,119.13,141.34,133.2,8.14,12.64,3.35,145.05,163.69,21.03,107.4,122.07,142.06,39.7,3.237,72.25,3.089,76.33,4.6,64.41,0.331,0.518,392.4,reduced_heat_dissipation,Warning,1
86,2025-01-01 07:05:00,CAL-005,Materials-QC,polymer_curing,BATCH-7931,27.42,47.52,111.31,137.59,132.67,4.92,8.92,5.46,139.82,161.06,17.18,124.08,139.99,93.85,73.99,3.21,45.24,1.432,47.21,0.79,53.63,0.101,0.29,809.0,none,Normal,0
87,2025-01-01 07:10:00,CAL-025,Reactor-Line-B,material_characterization,BATCH-1535,28.63,58.99,97.49,101.62,101.07,0.55,9.34,6.82,108.32,124.64,5.17,78.35,91.5,84.96,54.77,3.298,50.95,1.687,34.67,0.41,76.82,0.095,0.192,861.7,none,Normal,0
